id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
83,10,B.Tech,Petroleum Engineering,OTHER,60,0,,,,,,,,,,
84,10,B.Tech,Mechatronics Engineering,MECHANICAL,60,0,,,,,,,,,,
85,10,B.Tech,Bioinformatics (International),OTHER,60,0,,,,,,,,,,
86,10,B.Tech,CS & Business Systems,OTHER,60,0,,,,,,,,,,
87,10,B.Tech,Food Tech (International),OTHER,60,0,,,,,,,,,,
88,10,B.Tech,Electronics Engineering (VLSI),ELECTRONICS,60,0,,,,,,,,,,
89,10,B.Tech,EEE (International),ELECTRICAL,60,0,,,,,,,,,,
90,10,B.Tech,Civil (International),CIVIL,60,0,,,,,,,,,,
91,10,B.Tech,Mechanical (International),MECHANICAL,60,0,,,,,,,,,,
92,10,B.Tech,Electrical & Computer Engineering,ELECTRICAL,60,0,,,,,,,,,,
93,11,B.Tech,CSE,OTHER,60,0,,,,,,,,,,
94,11,B.Tech,Aerospace,OTHER,60,0,,,,,,,,,,
95,11,B.Tech,Civil,CIVIL,60,0,,,,,,,,,,
96,11,B.Tech,ECE,ELECTRONICS,60,0,,,,,,,,,,
97,11,B.Tech,EEE,ELECTRICAL,60,0,,,,,,,,,,
98,11,B.Tech,Mechanical,MECHANICAL,60,0,,,,,,,,,,
99,11,B.Tech,Biotechnology,BIOTECH,60,0,,,,,,,,,,
100,11,B.Tech,CSE (3 Continent),OTHER,60,0,,,,,,,,,,
101,11,B.Tech,Civil (3 Continent),CIVIL,60,0,,,,,,,,,,
102,11,B.Tech,ECE (3 Continent),ELECTRONICS,60,0,,,,,,,,,,
103,11,B.Tech,Mechanical (3 Continent),MECHANICAL,60,0,,,,,,,,,,
104,11,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,60,0,,,,,,,,,,
105,11,B.Tech,Biomedical,OTHER,60,0,,,,,,,,,,
106,11,B.Tech,Defence Technology,OTHER,60,0,,,,,,,,,,
107,11,B.Tech,CSE (International),OTHER,60,0,,,,,,,,,,
108,11,B.Tech,Internet of things,OTHER,60,0,,,,,,,,,,
109,22,B.Tech,Artificial Intelligence,CSE_AI_ML,50,0,,,,,,,,,,
110,22,B.Tech,Computer Science Engineering,CSE_CORE,50,0,,,,,,,,,,
111,22,B.Tech,Electronics & Communication Engineering,ELECTRONICS,50,0,,,,,,,,,,
112,22,B.Tech,Electronics & Computer Engineering,ELECTRONICS,50,0,,,,,,,,,,
113,22,B.Tech,Engineering Physics,OTHER,50,0,,,,,,,,,,
114,22,B.Tech,Mechanical Engineering,MECHANICAL,50,0,,,,,,,,,,
115,22,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
116,23,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
117,23,B.Tech,Agricultural Engineering,OTHER,50,0,,,,,,,,,,
118,23,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
119,23,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
120,23,B.Tech,Artificial Intelligence & Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
